,FinalObjectiveValue,TrainingElapsedTimeSeconds,TrainingEndTime,TrainingJobName,TrainingJobStatus,TrainingStartTime,context_length,dropout_rate,embedding_dimension,learning_rate,mini_batch_size,num_cells,num_layers
0,97.43958282470703,710.0,2018-10-29 17:50:57+00:00,forecasting-deepar-181029-1533-050-2db02949,Completed,2018-10-29 17:39:07+00:00,10.0,0.001959932384760467,1.0,0.0012152982364957985,166.0,103.0,7.0
1,109.00252532958984,159.0,2018-10-29 17:35:55+00:00,forecasting-deepar-181029-1533-049-8fcd351d,Completed,2018-10-29 17:33:16+00:00,8.0,0.18534836011913547,24.0,0.014699667438155957,39.0,99.0,4.0
2,83.17784118652344,422.0,2018-10-29 17:37:56+00:00,forecasting-deepar-181029-1533-048-562a87e3,Completed,2018-10-29 17:30:54+00:00,8.0,0.01814035230663547,5.0,0.009976018756515331,112.0,49.0,8.0
3,109.64790344238281,1550.0,2018-10-29 17:50:36+00:00,forecasting-deepar-181029-1533-047-c2b5177d,Completed,2018-10-29 17:24:46+00:00,12.0,0.19464401441601048,17.0,1e-05,197.0,134.0,3.0
4,86.5853500366211,1258.0,2018-10-29 17:45:23+00:00,forecasting-deepar-181029-1533-046-32c35ca0,Completed,2018-10-29 17:24:25+00:00,14.0,0.02813180738476047,15.0,0.0006294193302457984,244.0,115.0,5.0
5,82.7457046508789,586.0,2018-10-29 17:28:32+00:00,forecasting-deepar-181029-1533-045-dc33c123,Completed,2018-10-29 17:18:46+00:00,12.0,0.19464401441601048,17.0,0.001170624969894236,197.0,134.0,3.0
6,443.3953552246094,3293.0,2018-10-29 18:10:14+00:00,forecasting-deepar-181029-1533-044-9d621c45,Completed,2018-10-29 17:15:21+00:00,8.0,0.055371797619135465,15.0,0.04663006782878096,223.0,119.0,6.0
7,94.15638732910156,463.0,2018-10-29 17:21:27+00:00,forecasting-deepar-181029-1533-043-e355dd39,Completed,2018-10-29 17:13:44+00:00,12.0,0.17474655347851048,1.0,0.0021612485538786107,66.0,126.0,8.0
8,274.043701171875,1118.0,2018-10-29 17:30:29+00:00,forecasting-deepar-181029-1533-042-16e6ce46,Completed,2018-10-29 17:11:51+00:00,10.0,0.13271774488476049,10.0,0.05838090467035539,97.0,115.0,8.0
9,83.30643463134766,659.0,2018-10-29 17:21:31+00:00,forecasting-deepar-181029-1533-041-e745bdf9,Completed,2018-10-29 17:10:32+00:00,10.0,0.10686325269726048,4.0,0.009429808734542675,224.0,56.0,5.0
10,95.57655334472656,137.0,2018-10-29 17:11:48+00:00,forecasting-deepar-181029-1533-040-dc5ee31a,Completed,2018-10-29 17:09:31+00:00,12.0,0.13134030347851047,22.0,0.009801109491378612,205.0,30.0,1.0
11,165.94705200195312,209.0,2018-10-29 17:08:03+00:00,forecasting-deepar-181029-1533-039-805c5452,Completed,2018-10-29 17:04:34+00:00,7.0,0.10246261793163547,2.0,0.08762743252604659,186.0,79.0,1.0
12,126.42467498779297,319.0,2018-10-29 17:09:14+00:00,forecasting-deepar-181029-1533-038-deda2fbc,Completed,2018-10-29 17:03:55+00:00,14.0,0.08324812257290237,16.0,1e-05,36.0,106.0,3.0
13,132.3192138671875,770.0,2018-10-29 17:13:03+00:00,forecasting-deepar-181029-1533-037-01f7f996,Completed,2018-10-29 17:00:13+00:00,8.0,0.12952167049784494,3.0,1e-05,115.0,58.0,7.0
14,280.9736022949219,445.0,2018-10-29 17:06:53+00:00,forecasting-deepar-181029-1533-036-376f045d,Completed,2018-10-29 16:59:28+00:00,14.0,0.0,1.0,0.04240990883219893,54.0,146.0,3.0
15,99.37496948242188,125.0,2018-10-29 17:00:53+00:00,forecasting-deepar-181029-1533-035-9c09da6b,Completed,2018-10-29 16:58:48+00:00,11.0,0.19161667066601049,26.0,0.002344335712081736,37.0,31.0,5.0
16,690.5008544921875,1134.0,2018-10-29 17:16:19+00:00,forecasting-deepar-181029-1533-034-0a390a9e,Completed,2018-10-29 16:57:25+00:00,14.0,2.511793163546723e-05,1.0,0.0962203231510466,43.0,135.0,7.0
17,130.54049682617188,320.0,2018-10-29 17:02:19+00:00,forecasting-deepar-181029-1533-033-ccac860f,Completed,2018-10-29 16:56:59+00:00,14.0,0.08132394605663547,16.0,1e-05,36.0,106.0,3.0
18,90.52660369873047,150.0,2018-10-29 16:56:39+00:00,forecasting-deepar-181029-1533-032-bdeeed2f,Completed,2018-10-29 16:54:09+00:00,11.0,0.19161667066601049,25.0,0.002344335712081736,42.0,31.0,5.0
19,91.28022003173828,250.0,2018-10-29 16:56:24+00:00,forecasting-deepar-181029-1533-031-46430460,Completed,2018-10-29 16:52:14+00:00,8.0,3.122144726046723e-05,5.0,0.0012763272892301735,247.0,77.0,1.0
20,89.79019927978516,352.0,2018-10-29 16:57:44+00:00,forecasting-deepar-181029-1533-030-234309b8,Completed,2018-10-29 16:51:52+00:00,10.0,0.03994015699413547,15.0,0.005861684137374704,46.0,99.0,7.0
21,88.92138671875,453.0,2018-10-29 16:55:23+00:00,forecasting-deepar-181029-1533-029-c25b934c,Completed,2018-10-29 16:47:50+00:00,10.0,0.03794015699413547,15.0,0.004861784137374704,43.0,101.0,7.0
22,94.215576171875,426.0,2018-10-29 16:54:12+00:00,forecasting-deepar-181029-1533-028-b60b1523,Completed,2018-10-29 16:47:06+00:00,14.0,0.01566842847851047,4.0,0.0015753696476286108,144.0,35.0,6.0
23,84.11112976074219,427.0,2018-10-29 16:51:34+00:00,forecasting-deepar-181029-1533-027-e7d56321,Completed,2018-10-29 16:44:27+00:00,10.0,0.041940156994135475,15.0,0.004861784137374704,43.0,101.0,7.0
24,82.85668182373047,360.0,2018-10-29 16:49:47+00:00,forecasting-deepar-181029-1533-026-3660c78b,Completed,2018-10-29 16:43:47+00:00,11.0,0.01592282300976047,8.0,0.004924888177902049,245.0,119.0,1.0
25,104.97288513183594,219.0,2018-10-29 16:44:26+00:00,forecasting-deepar-181029-1533-025-24f8a809,Completed,2018-10-29 16:40:47+00:00,13.0,0.13705734449413548,30.0,0.04475608813750749,217.0,30.0,5.0
26,107.31995391845703,221.0,2018-10-29 16:44:54+00:00,forecasting-deepar-181029-1533-024-5b416fab,Completed,2018-10-29 16:41:13+00:00,11.0,0.13877633863476047,11.0,0.0215745902286833,219.0,40.0,2.0
27,83.21430206298828,390.0,2018-10-29 16:42:10+00:00,forecasting-deepar-181029-1533-023-a1310208,Completed,2018-10-29 16:35:40+00:00,11.0,0.01392282300976047,7.0,0.003924988177902048,248.0,117.0,1.0
28,113.40703582763672,653.0,2018-10-29 16:41:32+00:00,forecasting-deepar-181029-1533-022-2b456384,Completed,2018-10-29 16:30:39+00:00,14.0,0.15231003004101049,1.0,0.028635651630050486,203.0,122.0,3.0
29,139.57472229003906,589.0,2018-10-29 16:38:52+00:00,forecasting-deepar-181029-1533-021-fa784c03,Completed,2018-10-29 16:29:03+00:00,12.0,0.09327515427834274,8.0,0.09237549282878098,237.0,86.0,3.0
30,234.84738159179688,1240.0,2018-10-29 16:49:30+00:00,forecasting-deepar-181029-1533-020-e7f17c56,Completed,2018-10-29 16:28:50+00:00,12.0,0.09287179761913547,9.0,0.09237549282878098,237.0,86.0,3.0
31,121.36196899414062,819.0,2018-10-29 16:38:41+00:00,forecasting-deepar-181029-1533-019-c11fa184,Completed,2018-10-29 16:25:02+00:00,12.0,0.09687179761913547,8.0,0.09237549282878098,237.0,86.0,3.0
32,104.7369613647461,225.0,2018-10-29 16:28:18+00:00,forecasting-deepar-181029-1533-018-0372019a,Completed,2018-10-29 16:24:33+00:00,12.0,0.1651823444941355,1.0,0.022926383746749705,46.0,70.0,6.0
33,163.64915466308594,483.0,2018-10-29 16:33:07+00:00,forecasting-deepar-181029-1533-017-5504edb0,Completed,2018-10-29 16:25:04+00:00,9.0,0.07695993238476047,19.0,0.03871154823649581,194.0,80.0,6.0
34,213.6536407470703,196.0,2018-10-29 16:21:29+00:00,forecasting-deepar-181029-1533-016-3505909d,Completed,2018-10-29 16:18:13+00:00,11.0,0.026386201916010467,9.0,0.056536181610519244,87.0,80.0,2.0
35,124.64025115966797,266.0,2018-10-29 16:22:16+00:00,forecasting-deepar-181029-1533-015-af108c20,Completed,2018-10-29 16:17:50+00:00,10.0,0.09094723707226048,29.0,0.08378663012126143,228.0,59.0,1.0
36,112.5857925415039,787.0,2018-10-29 16:26:04+00:00,forecasting-deepar-181029-1533-014-b75b0591,Completed,2018-10-29 16:12:57+00:00,13.0,0.008283174572260467,3.0,0.017461232074386424,208.0,160.0,3.0
37,92.09436798095703,840.0,2018-10-29 16:21:34+00:00,forecasting-deepar-181029-1533-013-fbfc13cf,Completed,2018-10-29 16:07:34+00:00,13.0,0.008283174572260467,3.0,0.017461232074386424,208.0,163.0,3.0
38,87.78309631347656,196.0,2018-10-29 16:10:48+00:00,forecasting-deepar-181029-1533-012-bd3acdfe,Completed,2018-10-29 16:07:32+00:00,7.0,0.13256295972851048,4.0,0.01617351906169111,112.0,111.0,2.0
39,87.23465728759766,210.0,2018-10-29 16:03:58+00:00,forecasting-deepar-181029-1533-011-f4e299c7,Completed,2018-10-29 16:00:28+00:00,10.0,0.04152902418163547,11.0,0.0023840045963590796,169.0,143.0,1.0
40,536.2431640625,974.0,2018-10-29 16:15:53+00:00,forecasting-deepar-181029-1533-010-9e1e296e,Completed,2018-10-29 15:59:39+00:00,13.0,0.16963180738476047,30.0,0.0713723443302458,83.0,147.0,3.0
41,146.61480712890625,335.0,2018-10-29 16:05:18+00:00,forecasting-deepar-181029-1533-009-1e60e733,Completed,2018-10-29 15:59:43+00:00,12.0,0.14521774488476047,25.0,0.05233127987712081,256.0,36.0,7.0
42,92.1286392211914,378.0,2018-10-29 15:56:43+00:00,forecasting-deepar-181029-1533-008-ef38782f,Completed,2018-10-29 15:50:25+00:00,13.0,0.10033249097851048,10.0,0.0008918442570036109,69.0,141.0,4.0
43,244.7140350341797,624.0,2018-10-29 15:57:52+00:00,forecasting-deepar-181029-1533-007-8551ac9b,Completed,2018-10-29 15:47:28+00:00,12.0,0.14521774488476047,24.0,0.05233127987712081,256.0,39.0,7.0
44,91.41167449951172,151.0,2018-10-29 15:44:42+00:00,forecasting-deepar-181029-1533-006-a80647a1,Completed,2018-10-29 15:42:11+00:00,7.0,0.01731637769726047,18.0,0.0010322110782926735,163.0,46.0,1.0
45,85.96111297607422,196.0,2018-10-29 15:39:36+00:00,forecasting-deepar-181029-1533-005-5d9f1dac,Completed,2018-10-29 15:36:20+00:00,14.0,0.12895155976367795,12.0,0.01193344641619794,75.0,166.0,1.0
46,150.06263732910156,3064.0,2018-10-29 16:26:49+00:00,forecasting-deepar-181029-1533-004-b29296e3,Completed,2018-10-29 15:35:45+00:00,13.0,0.16012770422301764,16.0,0.047555349700124434,171.0,152.0,4.0
47,762.1106567382812,2383.0,2018-10-29 16:15:27+00:00,forecasting-deepar-181029-1533-003-b80d1029,Completed,2018-10-29 15:35:44+00:00,11.0,0.12400774243211524,2.0,0.04631747691873623,165.0,186.0,6.0
48,102.9195556640625,740.0,2018-10-29 15:48:03+00:00,forecasting-deepar-181029-1533-002-19dea845,Completed,2018-10-29 15:35:43+00:00,11.0,0.0020007815222466974,2.0,0.02586816178683784,154.0,132.0,5.0
49,185.05194091796875,1297.0,2018-10-29 15:57:30+00:00,forecasting-deepar-181029-1533-001-736b03c9,Completed,2018-10-29 15:35:53+00:00,7.0,0.09382809644726048,20.0,0.06691819994548018,244.0,107.0,8.0
